scientificName,introduction_status,reportingStatus,infrataxon_status,provincial_concern,provenance_status,solow_EP,phylum,iNaturalistTaxonId,iNaturalistTaxonName,kingdom,subphylum,class,subclass,superorder,order,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety,nameStatus
Heuchera micrantha var. diversifolia,native,confirmed,infrataxon,secure,voucher,0,Tracheophyta,51344,Heuchera micrantha diversifolia,Plantae,Angiospermae,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,Heuchereae,Heuchera,micrantha,,Heuchera micrantha diversifolia,accepted
Hieracium albiflorum,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,63937,Hieracium albiflorum,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Hieracium,albiflorum,,,accepted
Hippuris vulgaris,native,new 2017,non-infrataxon,secure,voucher,0.225,Tracheophyta,77422,Hippuris vulgaris,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,Callitricheae,Hippuris,vulgaris,,,accepted
Holcus lanatus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,52793,Holcus lanatus,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Holcus,lanatus,,,accepted
Holodiscus discolor var. discolor,native,confirmed,infrataxon,secure,unknown,,Tracheophyta,80941,Holodiscus discolor discolor,Plantae,Angiospermae,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Spiraeeae,Holodiscus,discolor,,Holodiscus discolor discolor,accepted
Hordeum brachyantherum ssp. brachyantherum,native,confirmed,infrataxon,secure,unknown,,Tracheophyta,61834,Hordeum brachyantherum brachyantherum,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Hordeum,brachyantherum,Hordeum brachyantherum brachyantherum,,accepted
Hordeum jubatum,native,reported,non-infrataxon,secure,no_voucher,0.008,Tracheophyta,60287,Hordeum jubatum,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Hordeum,jubatum,,,accepted
Hordeum murinum ssp. leporinum,exotic,reported,infrataxon,unknown,unknown,,Tracheophyta,52795,Hordeum murinum leporinum,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Hordeum,murinum,Hordeum murinum leporinum,,accepted
Hordeum murinum ssp. murinum,exotic,confirmed,infrataxon,unknown,voucher,0,Tracheophyta,63333,Hordeum murinum murinum,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Hordeum,murinum,Hordeum murinum murinum,,accepted
Hyacinthoides × massartiana,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta,863646,Hyacinthoides × massartiana,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,Hyacintheae,Hyacinthoides,,,,accepted
Hyacinthoides hispanica,exotic,new 2016,non-infrataxon,unknown,no_voucher,0,Tracheophyta,57635,Hyacinthoides hispanica,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,Hyacintheae,Hyacinthoides,hispanica,,,accepted
Hypericum anagalloides,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,61032,Hypericum anagalloides,Plantae,Angiospermae,Magnoliopsida,,,Malpighiales,,,Hypericaceae,,Hypericeae,Hypericum,anagalloides,,,accepted
Hypericum androsaemum,exotic,new 2019,non-infrataxon,unknown,voucher,0,Tracheophyta,77480,Hypericum androsaemum,Plantae,Angiospermae,Magnoliopsida,,,Malpighiales,,,Hypericaceae,,Hypericeae,Hypericum,androsaemum,,,accepted
Hypericum calycinum,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,77481,Hypericum calycinum,Plantae,Angiospermae,Magnoliopsida,,,Malpighiales,,,Hypericaceae,,Hypericeae,Hypericum,calycinum,,,accepted
Hypericum perforatum,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta,56077,Hypericum perforatum,Plantae,Angiospermae,Magnoliopsida,,,Malpighiales,,,Hypericaceae,,Hypericeae,Hypericum,perforatum,,,accepted
Hypochaeris glabra,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.023,Tracheophyta,53103,Hypochaeris glabra,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Hypochaeris,glabra,,,accepted
Hypochaeris radicata,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta,53104,Hypochaeris radicata,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Hypochaeris,radicata,,,accepted
Idahoa scapigera,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,77486,Idahoa scapigera,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Subularieae,Idahoa,scapigera,,,accepted
Ilex aquifolium,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta,53856,Ilex aquifolium,Plantae,Angiospermae,Magnoliopsida,,,Aquifoliales,,,Aquifoliaceae,,,Ilex,aquifolium,,,accepted
Impatiens capensis,exotic,new 2020,non-infrataxon,unknown,no_voucher,0,Tracheophyta,47888,Impatiens capensis,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Balsaminaceae,,,Impatiens,capensis,,,accepted
Impatiens glandulifera,exotic,reported,non-infrataxon,unknown,no_voucher,0,Tracheophyta,47892,Impatiens glandulifera,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Balsaminaceae,,,Impatiens,glandulifera,,,accepted
Iris × hybrida,exotic,new 2022,non-infrataxon,unknown,unknown,,Tracheophyta,857006,Iris × hybrida,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Iridaceae,Iridoideae,Irideae,Iris,,,,accepted
Iris pseudacorus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,47779,Iris pseudacorus,Plantae,Angiospermae,Liliopsida,,,Asparagales,,,Iridaceae,Iridoideae,Irideae,Iris,pseudacorus,,,accepted
Jacobaea vulgaris,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,62498,Jacobaea vulgaris,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Senecioneae,Jacobaea,vulgaris,,,accepted
Juncus acuminatus,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,77549,Juncus acuminatus,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,acuminatus,,,accepted
Juncus arcticus ssp. alaskanus,native,new 2017,infrataxon,secure,no_voucher,0,Tracheophyta,236555,Juncus arcticus alaskanus,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,arcticus,Juncus arcticus alaskanus,,accepted
Juncus articulatus,native,confirmed,non-infrataxon,secure,no_voucher,0.008,Tracheophyta,77552,Juncus articulatus,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,articulatus,,,accepted
Juncus balticus,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,58347,Juncus balticus,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,balticus,,,accepted
Juncus bolanderi,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,77553,Juncus bolanderi,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,bolanderi,,,accepted
Juncus bufonius,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,57107,Juncus bufonius,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,bufonius,,,accepted
Juncus dudleyi,native,reported,non-infrataxon,secure,unknown,,Tracheophyta,77567,Juncus dudleyi,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,dudleyi,,,accepted
Juncus effusus ssp. effusus,exotic,confirmed,infrataxon,unknown,unknown,,Tracheophyta,79961,Juncus effusus effusus,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,effusus,Juncus effusus effusus,,accepted
Juncus effusus ssp. pacificus,native,confirmed,infrataxon,secure,unknown,,Tracheophyta,57108,Juncus effusus pacificus,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,effusus,Juncus effusus pacificus,,accepted
Juncus ensifolius,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,77569,Juncus ensifolius,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,ensifolius,,,accepted
Juncus hesperius,native,new 2020,non-infrataxon,secure,unknown,,Tracheophyta,77574,Juncus hesperius,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,hesperius,,,accepted
Juncus occidentalis,native,new 2022,non-infrataxon,concern,unknown,,Tracheophyta,61826,Juncus occidentalis,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,occidentalis,,,accepted
Juncus oxymeris,native,reported,non-infrataxon,concern,unknown,,Tracheophyta,77588,Juncus oxymeris,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,oxymeris,,,accepted
Juncus pylaei,exotic,new 2022,non-infrataxon,unknown,unknown,,Tracheophyta,204194,Juncus pylaei,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,pylaei,,,accepted
Juncus supiniformis,native,reported,non-infrataxon,secure,voucher,0.031,Tracheophyta,77594,Juncus supiniformis,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,supiniformis,,,accepted
Juncus tenuis,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,69930,Juncus tenuis,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,tenuis,,,accepted
Juniperus maritima,native,new 2016,non-infrataxon,secure,voucher,0,Tracheophyta,164313,Juniperus maritima,Plantae,,Pinopsida,,,Pinales,,,Cupressaceae,Cupressoideae,,Juniperus,maritima,,,accepted
Kalmia microphylla var. occidentalis,native,confirmed,infrataxon,secure,voucher,0,Tracheophyta,1035494,Kalmia microphylla occidentalis,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Ericaceae,Ericoideae,Phyllodoceae,Kalmia,microphylla,,Kalmia microphylla occidentalis,accepted
Koeleria macrantha,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,57183,Koeleria macrantha,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Koeleria,macrantha,,,accepted
Kopsiopsis hookeri,native,new 2015,non-infrataxon,secure,voucher,0,Tracheophyta,77611,Kopsiopsis hookeri,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,Orobancheae,Kopsiopsis,hookeri,,,accepted
Laburnum anagyroides,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,51810,Laburnum anagyroides,Plantae,Angiospermae,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Genisteae,Laburnum,anagyroides,,,accepted
Lactuca serriola,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta,53107,Lactuca serriola,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Lactuca,serriola,,,accepted
Lamium galeobdolon,exotic,new 2023,non-infrataxon,unknown,no_voucher,0,Tracheophyta,204339,Lamium galeobdolon,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,Lamieae,Lamium,galeobdolon,,,accepted
Lamium galeobdolon ssp. argentatum,exotic,new 2022,infrataxon,unknown,unknown,,Tracheophyta,707386,Lamium galeobdolon argentatum,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,Lamieae,Lamium,galeobdolon,Lamium galeobdolon argentatum,,accepted
Lamium hybridum,exotic,new 2018,non-infrataxon,unknown,no_voucher,0.031,Tracheophyta,1369716,Lamium hybridum,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,Lamieae,Lamium,hybridum,,,accepted
Lamium purpureum,exotic,new 2015,non-infrataxon,unknown,no_voucher,0,Tracheophyta,55851,Lamium purpureum,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,Lamieae,Lamium,purpureum,,,accepted
Lapsana communis,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,55981,Lapsana communis,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Lapsana,communis,,,accepted
Lathyrus japonicus,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,77638,Lathyrus japonicus,Plantae,Angiospermae,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Fabeae,Lathyrus,japonicus,,,accepted
Lathyrus latifolius,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,61009,Lathyrus latifolius,Plantae,Angiospermae,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Fabeae,Lathyrus,latifolius,,,accepted
Lathyrus nevadensis var. pilosellus,native,confirmed,infrataxon,secure,unknown,,Tracheophyta,241251,Lathyrus nevadensis pilosellus,Plantae,Angiospermae,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Fabeae,Lathyrus,nevadensis,,Lathyrus nevadensis pilosellus,accepted
Lathyrus sylvestris,exotic,reported,non-infrataxon,unknown,no_voucher,0,Tracheophyta,82740,Lathyrus sylvestris,Plantae,Angiospermae,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Fabeae,Lathyrus,sylvestris,,,accepted
Lemna minuta,unknown,confirmed,non-infrataxon,concern,unknown,,Tracheophyta,59076,Lemna minuta,Plantae,Angiospermae,Liliopsida,,,Alismatales,,,Araceae,Lemnoideae,,Lemna,minuta,,,accepted
Lemna trisulca,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,77655,Lemna trisulca,Plantae,Angiospermae,Liliopsida,,,Alismatales,,,Araceae,Lemnoideae,,Lemna,trisulca,,,accepted
Lemna turionifera,native,new 2017,non-infrataxon,secure,unknown,,Tracheophyta,77656,Lemna turionifera,Plantae,Angiospermae,Liliopsida,,,Alismatales,,,Araceae,Lemnoideae,,Lemna,turionifera,,,accepted
Leontodon saxatilis ssp. saxatilis,exotic,new 2016,infrataxon,unknown,no_voucher,0.008,Tracheophyta,60975,Leontodon saxatilis saxatilis,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Leontodon,saxatilis,Leontodon saxatilis saxatilis,,accepted
Lepidium campestre,exotic,new 2016,non-infrataxon,unknown,no_voucher,0.017,Tracheophyta,77663,Lepidium campestre,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Lepidieae,Lepidium,campestre,,,accepted
Lepidium heterophyllum,exotic,new 2020,non-infrataxon,unknown,no_voucher,0,Tracheophyta,77669,Lepidium heterophyllum,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Lepidieae,Lepidium,heterophyllum,,,accepted
Lepidium ramosissimum,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta,77674,Lepidium ramosissimum,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Lepidieae,Lepidium,ramosissimum,,,accepted
Lepidium virginicum ssp. menziesii,native,confirmed,infrataxon,secure,no_voucher,0.033,Tracheophyta,79971,Lepidium virginicum menziesii,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Lepidieae,Lepidium,virginicum,Lepidium virginicum menziesii,,accepted
Leptosiphon minimus,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,77693,Leptosiphon minimus,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Polemoniaceae,,,Leptosiphon,minimus,,,accepted
Leucanthemum vulgare,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta,56057,Leucanthemum vulgare,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Anthemideae,Leucanthemum,vulgare,,,accepted
Leymus mollis ssp. mollis,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta,118426,Leymus mollis mollis,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Leymus,mollis,Leymus mollis mollis,,accepted
Ligustrum vulgare,exotic,new 2020,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta,119805,Ligustrum vulgare,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Oleaceae,,,Ligustrum,vulgare,,,accepted
Lilium columbianum,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,77744,Lilium columbianum,Plantae,Angiospermae,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,Lilieae,Lilium,columbianum,,,accepted
Linaria purpurea,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,77778,Linaria purpurea,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,Antirrhineae,Linaria,purpurea,,,accepted
Linnaea borealis ssp. longiflora,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta,81026,Linnaea borealis longiflora,Plantae,Angiospermae,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Linnaeoideae,,Linnaea,borealis,,Linnaea borealis longiflora,accepted
Linum usitatissimum,exotic,new 2022,non-infrataxon,unknown,no_voucher,0.031,Tracheophyta,51306,Linum usitatissimum,Plantae,Angiospermae,Magnoliopsida,,,Malpighiales,,,Linaceae,Linoideae,,Linum,usitatissimum,,,accepted
Lithophragma glabrum,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,77789,Lithophragma glabrum,Plantae,Angiospermae,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,Heuchereae,Lithophragma,glabrum,,,accepted
Lithophragma parviflorum,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,77791,Lithophragma parviflorum,Plantae,Angiospermae,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,Heuchereae,Lithophragma,parviflorum,,,accepted
Lobularia maritima,exotic,new 2018,non-infrataxon,unknown,no_voucher,0.016,Tracheophyta,56992,Lobularia maritima,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Anastaticeae,Lobularia,maritima,,,accepted
Lolium arundinaceum,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,164708,Lolium arundinaceum,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Lolium,arundinaceum,,,accepted
Lolium multiflorum,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta,68479,Lolium multiflorum,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Lolium,multiflorum,,,accepted
Lolium perenne,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta,52801,Lolium perenne,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Lolium,perenne,,,accepted
Lolium pratense,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta,866252,Lolium pratense,Plantae,Angiospermae,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Lolium,pratense,,,accepted
Lomatium nudicaule,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,77818,Lomatium nudicaule,Plantae,Angiospermae,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Selineae,Lomatium,nudicaule,,,accepted
Lomatium papilioniferum,native,confirmed,non-infrataxon,concern,unknown,,Tracheophyta,1234070,Lomatium papilioniferum,Plantae,Angiospermae,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Selineae,Lomatium,papilioniferum,,,accepted
Lomatium utriculatum,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,56827,Lomatium utriculatum,Plantae,Angiospermae,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Selineae,Lomatium,utriculatum,,,accepted
Lonicera ciliosa,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,77832,Lonicera ciliosa,Plantae,Angiospermae,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Caprifolioideae,,Lonicera,ciliosa,,,accepted
Lonicera hispidula,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,53416,Lonicera hispidula,Plantae,Angiospermae,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Caprifolioideae,,Lonicera,hispidula,,,accepted
Lotus corniculatus,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta,47435,Lotus corniculatus,Plantae,Angiospermae,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Loteae,Lotus,corniculatus,,,accepted
Ludwigia palustris,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,60221,Ludwigia palustris,Plantae,Angiospermae,Magnoliopsida,,,Myrtales,,,Onagraceae,,,Ludwigia,palustris,,,accepted
Lunaria annua,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta,55886,Lunaria annua,Plantae,Angiospermae,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Biscutelleae,Lunaria,annua,,,accepted
Lupinus arboreus,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta,61010,Lupinus arboreus,Plantae,Angiospermae,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Genisteae,Lupinus,arboreus,,,accepted
Lupinus bicolor,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,50614,Lupinus bicolor,Plantae,Angiospermae,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Genisteae,Lupinus,bicolor,,,accepted
Lupinus polycarpus,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,50614,Lupinus bicolor,Plantae,Angiospermae,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Genisteae,Lupinus,bicolor,,,unaccepted
Lupinus polyphyllus var. polyphyllus,native,reported,infrataxon,secure,unknown,,Tracheophyta,61016,Lupinus polyphyllus polyphyllus,Plantae,Angiospermae,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Genisteae,Lupinus,polyphyllus,Lupinus polyphyllus polyphyllus,,accepted
Luzula comosa var. laxa,native,confirmed,infrataxon,secure,no_voucher,0.031,Tracheophyta,81080,Luzula comosa laxa,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Luzula,comosa,,Luzula comosa laxa,accepted
Luzula macrantha,native,confirmed,non-infrataxon,secure,voucher,0.031,Tracheophyta,890625,Luzula macrantha,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Luzula,macrantha,,,accepted
Luzula multiflora ssp. multiflora,exotic,confirmed,infrataxon,unknown,no_voucher,0,Tracheophyta,237139,Luzula multiflora multiflora,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Luzula,multiflora,Luzula multiflora multiflora,,accepted
Luzula parviflora,native,reported,non-infrataxon,secure,unknown,,Tracheophyta,77897,Luzula parviflora,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Luzula,parviflora,,,accepted
Luzula subsessilis,native,confirmed,non-infrataxon,secure,no_voucher,0.031,Tracheophyta,77901,Luzula subsessilis,Plantae,Angiospermae,Liliopsida,,,Poales,,,Juncaceae,,,Luzula,subsessilis,,,accepted
Lycopodium clavatum,native,reported,non-infrataxon,secure,voucher,0,Tracheophyta,77914,Lycopodium clavatum,Plantae,,Lycopodiopsida,,,Lycopodiales,,,Lycopodiaceae,Lycopodioideae,,Lycopodium,clavatum,,,accepted
Lycopus americanus,native,new 2016,non-infrataxon,secure,unknown,,Tracheophyta,60206,Lycopus americanus,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,Mentheae,Lycopus,americanus,,,accepted
Lycopus europaeus,exotic,new 2022,non-infrataxon,unknown,no_voucher,0.016,Tracheophyta,133036,Lycopus europaeus,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,Mentheae,Lycopus,europaeus,,,accepted
Lycopus uniflorus,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta,77915,Lycopus uniflorus,Plantae,Angiospermae,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,Mentheae,Lycopus,uniflorus,,,accepted
Lysichiton americanus,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,48537,Lysichiton americanus,Plantae,Angiospermae,Liliopsida,,,Alismatales,,,Araceae,Orontioideae,,Lysichiton,americanus,,,accepted
Lysimachia arvensis,exotic,reported,non-infrataxon,unknown,no_voucher,0,Tracheophyta,791928,Lysimachia arvensis,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Primulaceae,Myrsinoideae,,Lysimachia,arvensis,,,accepted
Lysimachia europaea ssp. arctica,native,confirmed,infrataxon,secure,unknown,,Tracheophyta,716948,Lysimachia europaea arctica,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Primulaceae,Myrsinoideae,,Lysimachia,europaea,Lysimachia europaea arctica,,accepted
Lysimachia latifolia,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,496537,Lysimachia latifolia,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Primulaceae,Myrsinoideae,,Lysimachia,latifolia,,,accepted
Lysimachia maritima,native,reported,non-infrataxon,secure,no_voucher,0,Tracheophyta,204175,Lysimachia maritima,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Primulaceae,Myrsinoideae,,Lysimachia,maritima,,,accepted
Lysimachia minima,native,new 2020,non-infrataxon,secure,unknown,,Tracheophyta,204353,Lysimachia minima,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Primulaceae,Myrsinoideae,,Lysimachia,minima,,,accepted
Lysimachia thyrsiflora,native,confirmed,non-infrataxon,secure,no_voucher,0.009,Tracheophyta,77917,Lysimachia thyrsiflora,Plantae,Angiospermae,Magnoliopsida,,,Ericales,,,Primulaceae,Myrsinoideae,,Lysimachia,thyrsiflora,,,accepted
Lythrum salicaria,exotic,new 2019,non-infrataxon,unknown,no_voucher,0,Tracheophyta,61321,Lythrum salicaria,Plantae,Angiospermae,Magnoliopsida,,,Myrtales,,,Lythraceae,,,Lythrum,salicaria,,,accepted
Madia exigua,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta,56971,Madia exigua,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Madieae,Madia,exigua,,,accepted
Madia glomerata,native,confirmed,non-infrataxon,secure,no_voucher,0.016,Tracheophyta,77923,Madia glomerata,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Madieae,Madia,glomerata,,,accepted
Madia gracilis,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta,53135,Madia gracilis,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Madieae,Madia,gracilis,,,accepted
Madia sativa,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.031,Tracheophyta,53143,Madia sativa,Plantae,Angiospermae,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Madieae,Madia,sativa,,,accepted
